,id,male,age,econ_study,treatment
0,0_0,1,1.601146592909287,0,0
1,1_0,1,-0.7789361803342479,1,0
2,2_0,1,-0.3029196256855409,1,0
3,3_0,1,0.173096928963166,1,0
4,4_0,0,0.173096928963166,1,0
5,5_0,0,0.6491134836118729,0,0
6,6_0,0,0.173096928963166,0,0
7,7_0,0,-0.3029196256855409,1,0
8,8_0,1,0.6491134836118729,0,0
9,9_0,1,-0.7789361803342479,1,0
10,10_0,1,0.173096928963166,0,0
11,11_0,0,3.505212811504115,0,0
12,12_0,0,-0.3029196256855409,1,0
13,13_0,1,-0.3029196256855409,1,0
14,14_0,1,-1.2549527349829548,1,0
15,15_0,1,-0.7789361803342479,1,0
16,16_0,0,0.173096928963166,1,0
17,17_0,0,-0.3029196256855409,1,0
18,18_0,0,-0.3029196256855409,1,0
19,19_0,1,-0.7789361803342479,1,0
20,20_0,1,-1.2549527349829548,1,0
21,21_0,0,0.173096928963166,1,0
0,0_1,1,0.846801730472788,0,1
1,1_1,1,0.846801730472788,0,1
2,2_1,0,-0.04032389192727517,1,1
3,3_1,1,0.40323891927275635,1,1
4,4_1,1,-1.3710123255273698,1,1
5,5_1,0,-1.3710123255273698,1,1
6,6_1,0,-0.4838867031273067,0,1
7,7_1,1,-0.9274495143273382,0,1
8,8_1,0,1.733927352872851,1,1
9,9_1,1,-0.9274495143273382,0,1
10,10_1,1,0.40323891927275635,0,1
11,11_1,0,-0.9274495143273382,1,1
12,12_1,0,-1.3710123255273698,1,1
13,13_1,0,-0.04032389192727517,1,1
14,14_1,1,0.846801730472788,1,1
15,15_1,0,-1.3710123255273698,1,1
16,16_1,1,1.2903645416728196,1,1
17,17_1,1,0.40323891927275635,1,1
18,18_1,1,0.40323891927275635,1,1
19,19_1,1,1.2903645416728196,0,1
20,20_1,1,-0.9274495143273382,1,1
21,21_1,0,1.2903645416728196,0,1
